rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
10,1.98,340.0,115.0,24.0,20.0,0.5,0.057,0.19891,0.0008,0.738,0.759,0.0455,0.0234,58,4.462,0.512,4.881,0.006,1,1
10,1.98,340.0,115.0,24.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
11,1.93,330.0,105.0,28.0,10.0,0.1,0.0698,3.54263,0.3811,0.55,0.439,0.009,0.0141,51,3.923,0.508,3.245,0.0,1,1
11,1.93,330.0,105.0,28.0,10.0,0.3,0.2844,0.39618,0.107,0.6505,0.66,0.0169,0.0118,74,5.692,0.502,3.94,0.0,1,1
11,1.93,330.0,105.0,28.0,10.0,0.5,0.0959,0.25046,0.0013,0.7777,0.774,0.0353,0.022,18,5.3,0.249,4.083,0.021,0,0
11,1.93,330.0,105.0,28.0,10.0,0.7,0.0406,0.17585,0.0,0.6992,0.776,0.0278,0.0458,5,4.55,0.875,53.665,0.143,0,0
12,1.98,310.0,105.0,28.0,10.0,0.1,0.0617,3.69159,0.4881,0.491,0.416,0.0053,0.0111,52,4.0,0.523,3.031,0.0,1,1
12,1.98,310.0,105.0,28.0,10.0,0.3,0.2543,0.32564,0.1277,0.6022,0.622,0.019,0.0293,63,4.846,0.486,3.798,0.0,1,1
12,1.98,310.0,105.0,28.0,10.0,0.5,0.1965,0.16052,0.0013,0.8078,0.8,0.0422,0.0282,57,4.385,0.366,3.844,0.0,1,1
12,1.98,310.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
13,1.97,0.0,125.0,28.0,10.0,0.1,0.0056,2.32385,0.3057,0.6343,0.591,0.0089,0.015,52,4.0,0.032,4.267,0.0,1,1
13,1.97,0.0,125.0,28.0,10.0,0.3,0.0265,0.46022,0.0456,0.6847,0.696,0.024,0.0101,66,5.077,0.402,4.933,0.0,1,1
13,1.97,0.0,125.0,28.0,10.0,0.5,0.0415,0.42622,0.0003,0.8536,0.865,0.0352,0.0423,63,4.846,0.207,3.069,0.0,1,1
13,1.97,0.0,125.0,28.0,10.0,0.7,-0.5673,nan,0.0,0.367,0.359,nan,nan,0,0.0,nan,9.872,0.065,0,0
14,1.86,330.0,115.0,28.0,10.0,0.1,0.0365,5.46362,0.342,0.5853,0.476,0.01,0.0141,49,3.769,0.408,3.424,0.0,1,1
14,1.86,330.0,115.0,28.0,10.0,0.3,0.3057,0.37022,0.0979,0.6486,0.654,0.0209,0.015,66,5.077,0.488,4.239,0.0,1,1
14,1.86,330.0,115.0,28.0,10.0,0.5,0.0185,0.29559,0.0292,0.7836,0.805,0.0413,0.0322,9,4.165,0.343,3.438,0.0,0,0
14,1.86,330.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
15,1.88,320.0,115.0,28.0,10.0,0.1,0.0302,6.04182,0.4582,0.51,0.43,0.0073,0.0134,50,3.846,0.491,3.312,0.0,1,1
15,1.88,320.0,115.0,28.0,10.0,0.3,0.2933,0.34761,0.1066,0.6323,0.649,0.0238,0.0202,66,5.077,0.49,4.153,0.0,1,1
15,1.88,320.0,115.0,28.0,10.0,0.5,0.1003,0.24671,0.0083,0.7965,0.807,0.0307,0.0322,22,4.777,0.275,3.885,0.012,0,0
15,1.88,320.0,115.0,28.0,10.0,0.7,-0.2831,nan,0.0,0.0,0.0,nan,nan,0,0.0,nan,23.215,1.0,0,0
16,1.98,330.0,115.0,24.0,20.0,0.1,0.0767,3.52223,0.4427,0.5256,0.422,0.0052,0.0099,52,4.0,0.515,3.923,0.0,1,1
16,1.98,330.0,115.0,24.0,20.0,0.3,0.0914,0.4123,0.1266,0.6153,0.622,0.0148,0.0122,72,5.538,0.517,4.784,0.0,1,1
16,1.98,330.0,115.0,24.0,20.0,0.5,0.2298,0.21417,0.0019,0.7719,0.799,0.04,0.0251,59,4.538,0.491,4.879,0.021,1,1
16,1.98,330.0,115.0,24.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
17,1.97,350.0,105.0,28.0,10.0,0.1,-0.001,2.14291,0.4267,0.5265,0.474,0.0054,0.0134,52,4.0,0.017,3.48,0.0,1,1
17,1.97,350.0,105.0,28.0,10.0,0.3,0.2791,0.44981,0.0902,0.6896,0.686,0.0182,0.0089,65,5.0,0.515,4.329,0.0,1,1
17,1.97,350.0,105.0,28.0,10.0,0.5,0.0502,0.31209,0.0003,0.8013,0.791,0.0416,0.0271,53,4.077,0.499,3.476,0.0,1,1
17,1.97,350.0,105.0,28.0,10.0,0.7,-0.0192,0.33877,0.0011,0.9193,0.946,0.0508,0.0468,11,4.022,0.495,3.346,0.007,0,0
18,1.86,320.0,115.0,28.0,10.0,0.1,0.0327,6.13279,0.468,0.5015,0.417,0.0076,0.0138,49,3.769,0.509,3.253,0.0,1,1
18,1.86,320.0,115.0,28.0,10.0,0.3,0.2953,0.36081,0.1069,0.6235,0.634,0.0159,0.0185,69,5.308,0.501,4.012,0.0,1,1
18,1.86,320.0,115.0,28.0,10.0,0.5,0.0546,0.25581,0.0069,0.7944,0.792,0.0367,0.0294,20,4.575,0.177,3.975,0.02,0,0
18,1.86,320.0,115.0,28.0,10.0,0.7,-0.2278,0.66427,0.0011,0.7688,0.868,0.0426,0.0546,4,3.81,3.048,4.157,0.091,0,0
19,1.97,310.0,105.0,28.0,10.0,0.1,0.0626,3.69339,0.4932,0.4864,0.412,0.0053,0.0112,51,3.923,0.527,3.018,0.0,1,1
19,1.97,310.0,105.0,28.0,10.0,0.3,0.2838,0.33393,0.1227,0.6027,0.615,0.0144,0.0262,64,4.923,0.513,3.626,0.0,1,1
19,1.97,310.0,105.0,28.0,10.0,0.5,0.2006,0.3567,0.0206,0.7609,0.737,0.0283,0.0228,13,4.678,0.526,4.1,0.004,0,0
19,1.97,310.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
20,1.85,340.0,115.0,28.0,10.0,0.1,-0.006,2.19927,0.4335,0.5066,0.443,0.0081,0.0155,50,3.846,0.309,3.488,0.0,1,1
20,1.85,340.0,115.0,28.0,10.0,0.3,0.0402,0.42252,0.0918,0.6492,0.66,0.0173,0.0102,70,5.385,0.476,4.215,0.0,1,1
20,1.85,340.0,115.0,28.0,10.0,0.5,-0.0399,0.29168,0.0014,0.8024,0.825,0.0376,0.0425,9,4.239,0.151,4.282,0.035,0,0
20,1.85,340.0,115.0,28.0,10.0,0.7,0.2974,0.18296,0.0,0.8369,0.886,0.0461,0.0347,7,4.187,0.958,35.544,0.086,0,0
