ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,0.024
500k,500000,0,0.0
750k,750000,0,0.0008
1000k,1000000,0,0.0068
1250k,1250000,0,0.0115
1500k,1500000,0,0.0022
1750k,1750000,0,0.0033
2000k,2000000,2,0.0226
2250k,2250000,1,0.008
2500k,2500000,0,0.0045
2750k,2750000,8,0.2147
3000k,3000000,8,0.3206
final,1000000000,8,0.3118
