steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1560,159.2667,0.8724,13.0164,1.1628,0.1200,84.2107,0.0065,0.0082,-0.0993,0.6408,10.3901,0.0879,0.2877,0.0427,-0.1734,-0.0097,0.0679,-0.1117,-0.0131,-0.1673,-0.1270,-0.0440,0.3414,0.3385,0.3622,0.3422,0.3692
500000,766,325.7037,0.5587,28.6619,-2.5540,0.1200,87.2558,0.0090,0.0107,-0.1084,0.6072,8.1427,0.4488,0.3903,0.0972,-0.0898,-0.0103,0.0579,-0.1165,-0.0126,-0.1540,-0.0615,0.0523,0.3289,0.3257,0.3670,0.3315,0.3720
750000,662,377.4970,0.4033,30.2856,0.7454,0.2700,79.7102,0.0106,0.0123,-0.0894,0.6027,7.7438,0.5018,0.2631,0.0965,-0.0972,-0.0107,0.0610,-0.1196,-0.0123,-0.1467,-0.0440,0.0479,0.3214,0.3198,0.3628,0.3153,0.3675
1000000,776,321.9974,0.6224,31.1889,4.2137,0.2700,93.1903,0.0134,0.0151,-0.0650,0.6144,9.6972,0.3887,0.2493,0.1231,-0.1082,-0.0109,0.0732,-0.1376,-0.0111,-0.1356,-0.0553,0.0690,0.3132,0.3111,0.3680,0.3048,0.3664
1250000,664,376.7741,0.4398,25.4528,3.8996,0.2700,81.5117,0.0143,0.0156,-0.0508,0.6388,11.0260,0.1363,0.2544,0.1211,-0.1079,-0.0112,0.0792,-0.1381,-0.0110,-0.1346,-0.0419,0.0671,0.3069,0.3018,0.3649,0.2967,0.3638
1500000,664,376.5422,0.4744,26.6394,5.7059,0.4200,78.3740,0.0185,0.0191,-0.0233,0.6271,11.5738,0.1009,0.2031,0.1396,-0.1222,-0.0117,0.0903,-0.1516,-0.0108,-0.1365,-0.0393,0.0785,0.2987,0.2934,0.3661,0.2883,0.3620
1750000,902,277.8670,0.7916,27.7637,7.7459,0.4200,100.6722,0.0218,0.0235,-0.0672,0.6092,15.1873,0.0235,0.1734,0.1771,-0.1344,-0.0130,0.1034,-0.1703,-0.0110,-0.1435,-0.0611,0.1099,0.2933,0.2868,0.3668,0.2879,0.3653
2000000,1081,231.3043,0.8797,28.5505,7.9895,0.4200,108.2116,0.0218,0.0237,-0.0776,0.6052,15.5467,0.0895,0.1797,0.1885,-0.1251,-0.0135,0.1045,-0.1674,-0.0111,-0.1461,-0.0792,0.1260,0.2883,0.2835,0.3705,0.2835,0.3675
2250000,961,260.2653,0.8065,31.1924,13.3767,0.4200,102.7367,0.0230,0.0244,-0.0603,0.6197,13.8826,0.1066,0.1751,0.1844,-0.1279,-0.0132,0.1061,-0.1682,-0.0111,-0.1445,-0.0674,0.1204,0.2837,0.2799,0.3687,0.2767,0.3702
2500000,806,309.1836,0.6799,29.2399,11.5316,0.4200,90.7003,0.0222,0.0247,-0.0753,0.6155,13.1513,0.0283,0.1777,0.1781,-0.1334,-0.0133,0.1010,-0.1633,-0.0112,-0.1372,-0.0576,0.1113,0.2813,0.2711,0.3687,0.2709,0.3668
2750000,771,325.0311,0.5979,27.3022,7.4204,0.4200,94.0478,0.0235,0.0252,-0.0676,0.6085,13.2722,0.0459,0.1793,0.1802,-0.1331,-0.0144,0.1051,-0.1633,-0.0111,-0.1362,-0.0576,0.1137,0.2827,0.2635,0.3630,0.2682,0.3668
3000000,847,295.7237,0.6765,28.3835,7.1531,0.4200,106.2492,0.0282,0.0304,-0.0753,0.5957,15.5336,-0.0999,0.2002,0.2116,-0.1447,-0.0162,0.1143,-0.1748,-0.0115,-0.1440,-0.0687,0.1392,0.2772,0.2606,0.3607,0.2656,0.3659
