ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0008
500k,500000,3,0.0201
750k,750000,1,0.0223
1000k,1000000,0,0.011
1250k,1250000,1,0.0154
1500k,1500000,0,-0.0019
1750k,1750000,0,-0.0001
2000k,2000000,0,-0.0003
2250k,2250000,0,0.0001
2500k,2500000,0,0.0005
2750k,2750000,0,0.0001
3000k,3000000,2,0.0526
final,1000000000,4,0.0483
