ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0007
500k,500000,0,-0.0001
750k,750000,0,0.0024
1000k,1000000,0,0.0074
1250k,1250000,3,0.0282
1500k,1500000,1,0.015
1750k,1750000,2,0.0085
2000k,2000000,0,-0.0002
2250k,2250000,11,0.1692
2500k,2500000,9,0.2161
2750k,2750000,8,0.2802
3000k,3000000,9,0.2818
final,1000000000,8,0.3289
