steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1302,190.7442,0.8195,13.8387,-0.0697,0.1700,85.6934,0.0067,0.0083,-0.0994,0.6404,10.1664,0.0963,0.2941,0.0439,-0.1670,-0.0097,0.0000,0.0000,-0.0132,-0.1679,-0.1132,-0.0396,0.3402,0.3406,0.3599,0.3457,0.3653
500000,649,384.8613,0.4284,27.5402,7.4364,0.1700,75.7271,0.0089,0.0128,-0.1808,0.6358,9.0650,0.4061,0.3509,0.0926,-0.0934,-0.0098,0.0000,0.0000,-0.0130,-0.1533,-0.0353,0.0459,0.3293,0.3270,0.3632,0.3402,0.3728
750000,660,379.5606,0.4379,30.9370,10.1856,0.2700,82.0423,0.0100,0.0135,-0.1553,0.6364,9.9252,0.3309,0.2890,0.1128,-0.0949,-0.0102,0.0000,0.0000,-0.0132,-0.1486,-0.0352,0.0654,0.3205,0.3175,0.3590,0.3309,0.3693
1000000,707,352.5573,0.5460,30.4798,11.2220,0.2700,84.7041,0.0112,0.0145,-0.1370,0.6366,11.2392,0.1888,0.2745,0.1232,-0.1034,-0.0102,0.0000,0.0000,-0.0130,-0.1432,-0.0406,0.0715,0.3114,0.3063,0.3636,0.3220,0.3681
1250000,683,365.2138,0.4846,28.8547,9.1530,0.2700,82.9669,0.0121,0.0146,-0.1036,0.6401,11.7826,0.0704,0.2761,0.1261,-0.1131,-0.0105,0.0000,0.0000,-0.0132,-0.1404,-0.0414,0.0696,0.3039,0.2972,0.3623,0.3095,0.3666
1500000,691,363.1577,0.5195,27.9869,7.0302,0.3200,82.2455,0.0136,0.0148,-0.0493,0.6420,11.8450,0.0605,0.2556,0.1441,-0.0961,-0.0108,0.0000,0.0000,-0.0129,-0.1374,-0.0365,0.0960,0.2975,0.2944,0.3648,0.3000,0.3613
1750000,716,348.8953,0.5796,28.3947,6.6742,0.3200,89.4605,0.0156,0.0163,-0.0329,0.6418,12.3327,0.0086,0.2689,0.1603,-0.0967,-0.0108,0.0000,0.0000,-0.0126,-0.1405,-0.0378,0.1119,0.2953,0.2852,0.3647,0.2960,0.3598
2000000,684,365.4737,0.5058,29.0302,3.4490,0.3200,87.7145,0.0183,0.0191,-0.0311,0.6351,11.9955,0.0419,0.2725,0.1713,-0.1096,-0.0110,0.0000,0.0000,-0.0124,-0.1410,-0.0364,0.1165,0.2901,0.2811,0.3657,0.2914,0.3655
2250000,650,384.0662,0.4169,30.6855,5.9106,0.3700,82.7368,0.0173,0.0194,-0.0632,0.6285,11.7966,0.0783,0.2539,0.1640,-0.1162,-0.0106,0.0000,0.0000,-0.0124,-0.1347,-0.0351,0.1059,0.2847,0.2709,0.3674,0.2833,0.3572
2500000,682,368.2889,0.4941,30.4765,6.5382,0.3700,88.7602,0.0218,0.0248,-0.0679,0.6170,13.4540,-0.0800,0.2649,0.2022,-0.1172,-0.0108,0.0000,0.0000,-0.0125,-0.1408,-0.0410,0.1436,0.2825,0.2653,0.3672,0.2800,0.3557
2750000,741,336.6545,0.6059,31.7175,3.1088,0.3700,99.0303,0.0239,0.0256,-0.0570,0.6164,14.4399,-0.1466,0.2806,0.2316,-0.1059,-0.0104,0.0000,0.0000,-0.0121,-0.1400,-0.0487,0.1787,0.2780,0.2599,0.3689,0.2756,0.3567
3000000,711,350.5767,0.5865,32.1850,4.8519,0.3700,108.7974,0.0258,0.0290,-0.0677,0.6107,15.2744,-0.1876,0.2906,0.2567,-0.1043,-0.0104,0.0000,0.0000,-0.0122,-0.1465,-0.0444,0.2046,0.2746,0.2558,0.3704,0.2728,0.3556
