steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,675,367.2252,0.5052,25.2967,0.5504,13.3522,0.1521,0.2196,0.2268,-0.1425,-0.0061,0.1393,-0.1756,-0.0168,-0.0352,0.1556,0.3465,0.3055,0.3898,0.3548,0.3854
500000,575,435.5739,0.2609,25.1301,0.5621,11.5000,0.1758,0.1950,0.1961,-0.1615,-0.0057,0.1307,-0.1684,-0.0171,-0.0203,0.1153,0.3441,0.2991,0.3941,0.3507,0.3833
750000,577,433.1681,0.2600,25.7540,0.5382,11.8807,0.0934,0.2027,0.2372,-0.1502,-0.0059,0.1453,-0.1724,-0.0169,-0.0192,0.1621,0.3447,0.2923,0.3996,0.3478,0.3840
1000000,616,406.2143,0.3523,25.2167,0.5297,12.2971,0.0346,0.2239,0.2591,-0.1296,-0.0063,0.1533,-0.1726,-0.0167,-0.0280,0.1944,0.3399,0.2866,0.4031,0.3426,0.3847
1250000,587,424.7155,0.2811,25.2505,0.5227,12.4040,-0.0334,0.2245,0.2634,-0.1362,-0.0067,0.1565,-0.1717,-0.0169,-0.0268,0.1953,0.3358,0.2818,0.4077,0.3432,0.3855
1500000,599,417.5977,0.3155,26.9235,0.5192,12.3993,-0.0179,0.2379,0.2927,-0.1236,-0.0067,0.1646,-0.1783,-0.0163,-0.0254,0.2309,0.3310,0.2767,0.4160,0.3415,0.3907
1750000,604,413.0811,0.3427,27.6110,0.5062,12.5610,-0.0440,0.2447,0.3029,-0.1317,-0.0068,0.1702,-0.1812,-0.0162,-0.0267,0.2370,0.3262,0.2725,0.4198,0.3444,0.3902
2000000,588,425.8435,0.2857,27.3093,0.5122,12.0534,-0.0847,0.2521,0.3055,-0.1275,-0.0065,0.1691,-0.1788,-0.0166,-0.0232,0.2418,0.3262,0.2677,0.4177,0.3400,0.3939
2250000,566,442.1184,0.2332,25.4788,0.5126,12.4290,-0.1229,0.2399,0.2833,-0.1369,-0.0067,0.1651,-0.1700,-0.0167,-0.0175,0.2149,0.3257,0.2606,0.4225,0.3401,0.3926
2500000,529,471.9074,0.1172,25.1538,0.5019,13.2898,-0.2225,0.2175,0.2579,-0.1767,-0.0070,0.1626,-0.1683,-0.0164,-0.0099,0.1696,0.3162,0.2577,0.4255,0.3365,0.3953
2750000,543,461.1842,0.1326,25.4256,0.4970,14.0032,-0.2224,0.2140,0.2587,-0.1907,-0.0069,0.1629,-0.1708,-0.0162,-0.0177,0.1634,0.3170,0.2548,0.4218,0.3308,0.4024
3000000,529,472.4726,0.1172,24.7016,0.4986,13.7838,-0.2047,0.2163,0.2635,-0.1795,-0.0070,0.1651,-0.1692,-0.0162,-0.0093,0.1738,0.3209,0.2525,0.4193,0.3286,0.4115
