freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.72,280.0,125,16,10,0.7,0.0952,0.8
1.68,270.0,125,16,10,0.7,0.0904,0.8
1.06,340.0,125,16,10,0.7,0.0895,0.8
1.12,340.0,115,16,10,0.7,0.0874,0.867
1.05,290.0,85,24,10,0.7,0.0869,0.8
1.73,300.0,115,12,20,0.7,0.0868,0.8
1.05,330.0,125,16,10,0.7,0.0865,0.8
1.24,300.0,105,20,10,0.7,0.0865,0.8
1.12,350.0,115,16,10,0.7,0.0863,0.933
1.04,340.0,125,16,10,0.7,0.0845,0.933
1.04,330.0,125,16,10,0.7,0.0844,0.8
1.05,340.0,125,16,10,0.7,0.0842,0.867
1.07,280.0,85,24,10,0.7,0.0841,0.933
1.12,330.0,115,16,10,0.7,0.0831,0.8
1.06,280.0,85,24,10,0.7,0.0826,0.933
1.08,340.0,115,16,10,0.7,0.0812,0.8
1.11,350.0,115,16,10,0.7,0.0812,0.867
1.11,340.0,115,16,10,0.7,0.0809,0.933
1.1,330.0,115,16,10,0.7,0.0807,0.933
1.11,330.0,115,16,10,0.7,0.0802,0.933
1.09,340.0,115,16,10,0.7,0.08,0.933
1.05,280.0,85,24,10,0.7,0.0799,0.933
1.1,340.0,115,16,10,0.7,0.0797,0.933
1.18,0.0,105,16,10,0.7,0.0792,0.8
1.09,350.0,115,16,10,0.7,0.0779,0.867
1.09,330.0,115,16,10,0.7,0.0776,0.867
1.82,280.0,125,16,10,0.7,0.0776,0.8
1.09,310.0,85,20,10,0.7,0.0773,0.8
1.1,350.0,115,16,10,0.7,0.0764,0.867
1.08,270.0,85,24,10,0.7,0.0763,0.867
1.19,0.0,105,16,10,0.7,0.0758,0.8
1.07,270.0,85,24,10,0.7,0.0757,0.867
1.18,350.0,85,20,10,0.7,0.0751,0.8
1.37,280.0,85,16,20,0.7,0.074,0.8
1.17,340.0,95,16,10,0.7,0.0739,0.933
1.19,340.0,95,16,10,0.7,0.0739,0.933
1.83,280.0,125,16,10,0.7,0.0738,0.867
1.09,320.0,85,20,10,0.7,0.0736,0.867
1.19,350.0,95,16,10,0.7,0.0733,0.867
1.18,340.0,95,16,10,0.7,0.0729,1.0
1.2,340.0,95,16,10,0.7,0.0726,0.867
1.25,340.0,85,20,10,0.7,0.0726,0.8
1.17,330.0,95,16,10,0.7,0.0725,0.867
1.16,340.0,95,16,10,0.7,0.0723,0.933
1.2,350.0,95,16,10,0.7,0.0722,0.867
1.18,330.0,95,16,10,0.7,0.0721,0.867
1.28,340.0,85,20,10,0.7,0.0721,0.8
1.27,270.0,85,16,20,0.7,0.0719,0.933
1.04,280.0,85,24,10,0.7,0.0718,0.8
1.15,330.0,95,16,10,0.7,0.0718,0.933
