rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.43,320.0,85.0,24.0,10.0,0.1,-0.0036,1.82053,0.5845,0.3893,0.314,0.0054,0.0092,41,3.154,0.109,1.938,0.0,1,1
1,1.43,320.0,85.0,24.0,10.0,0.3,-0.0369,0.46748,0.2288,0.679,0.598,0.0108,0.0092,64,4.923,0.438,2.646,0.0,1,1
1,1.43,320.0,85.0,24.0,10.0,0.5,0.1498,0.20577,0.0036,0.9461,0.947,0.0298,0.0233,71,5.462,0.527,3.261,0.0,1,1
1,1.43,320.0,85.0,24.0,10.0,0.7,0.0415,0.18011,0.0014,0.9923,0.985,0.0515,0.0482,43,3.308,0.359,2.793,0.0,1,1
2,1.71,330.0,85.0,16.0,20.0,0.1,0.0604,2.47568,0.6618,0.3209,0.245,0.0054,0.0032,46,3.538,0.503,2.258,0.0,1,0
2,1.71,330.0,85.0,16.0,20.0,0.3,-0.0564,0.73923,0.2181,0.7029,0.585,0.0095,0.0053,65,5.0,0.248,2.615,0.0,1,1
2,1.71,330.0,85.0,16.0,20.0,0.5,0.0379,0.26783,0.0337,0.9185,0.912,0.0262,0.0237,76,5.846,0.506,3.629,0.0,1,1
2,1.71,330.0,85.0,16.0,20.0,0.7,-0.0408,0.17603,0.0033,0.9852,0.976,0.0558,0.0457,46,3.538,0.361,3.245,0.0,1,1
3,1.42,320.0,85.0,24.0,10.0,0.1,-0.0016,1.81812,0.586,0.3886,0.311,0.0054,0.0099,40,3.077,0.105,1.924,0.0,1,1
3,1.42,320.0,85.0,24.0,10.0,0.3,-0.0153,0.46421,0.2256,0.6843,0.599,0.011,0.0093,63,4.846,0.438,2.632,0.0,1,1
3,1.42,320.0,85.0,24.0,10.0,0.5,0.1587,0.18794,0.004,0.9418,0.943,0.0311,0.023,71,5.462,0.511,3.294,0.0,1,1
3,1.42,320.0,85.0,24.0,10.0,0.7,0.0364,0.15838,0.0014,0.9892,0.986,0.0529,0.0473,45,3.462,0.33,2.884,0.0,1,1
4,1.72,330.0,85.0,16.0,20.0,0.1,0.0612,2.56437,0.656,0.3251,0.249,0.0057,0.0033,45,3.462,0.526,2.285,0.0,1,0
4,1.72,330.0,85.0,16.0,20.0,0.3,-0.0504,0.7729,0.2169,0.7056,0.59,0.01,0.0052,61,4.692,0.245,2.613,0.0,1,1
4,1.72,330.0,85.0,16.0,20.0,0.5,0.1314,0.25336,0.0056,0.9434,0.944,0.0262,0.0204,86,6.615,0.511,3.607,0.0,1,1
4,1.72,330.0,85.0,16.0,20.0,0.7,0.2351,0.14131,0.0007,0.8423,0.858,0.0475,0.0297,8,4.896,0.76,42.855,0.184,0,0
5,1.52,320.0,85.0,20.0,10.0,0.1,0.0901,1.88339,0.6251,0.3592,0.272,0.0033,0.0058,40,3.077,0.522,1.794,0.0,1,0
5,1.52,320.0,85.0,20.0,10.0,0.3,0.0789,0.49909,0.1836,0.7365,0.635,0.0093,0.0077,65,5.0,0.478,2.367,0.0,1,1
5,1.52,320.0,85.0,20.0,10.0,0.5,0.1268,0.24904,0.1628,0.8167,0.821,0.0284,0.018,60,4.615,0.465,2.54,0.0,1,1
5,1.52,320.0,85.0,20.0,10.0,0.7,0.0248,0.22919,0.0016,0.9936,0.985,0.0575,0.0516,39,3.0,0.397,2.398,0.0,1,1
6,1.73,330.0,85.0,16.0,20.0,0.1,0.0624,2.53392,0.6475,0.3328,0.253,0.0055,0.0032,45,3.462,0.528,2.299,0.0,1,0
6,1.73,330.0,85.0,16.0,20.0,0.3,-0.0801,0.74986,0.2082,0.7113,0.594,0.0099,0.0053,62,4.769,0.339,2.646,0.0,1,1
6,1.73,330.0,85.0,16.0,20.0,0.5,0.1298,0.25801,0.0052,0.9427,0.943,0.0254,0.0194,89,6.846,0.508,3.608,0.0,1,1
6,1.73,330.0,85.0,16.0,20.0,0.7,0.0036,0.16172,0.0079,0.7639,0.849,0.0427,0.0446,6,3.927,0.835,46.086,0.137,0,0
7,1.86,300.0,105.0,12.0,20.0,0.1,0.0259,10.51139,0.7738,0.2215,0.227,nan,0.0041,18,1.385,1.064,2.443,0.0,1,0
7,1.86,300.0,105.0,12.0,20.0,0.3,0.1264,0.94606,0.1387,0.7691,0.666,0.0067,0.0056,49,3.769,0.512,2.624,0.0,1,1
7,1.86,300.0,105.0,12.0,20.0,0.5,0.059,0.31318,0.0072,0.9453,0.944,0.0253,0.025,79,6.077,0.5,3.413,0.0,1,1
7,1.86,300.0,105.0,12.0,20.0,0.7,0.0825,0.13901,0.0074,0.9926,0.996,0.0509,0.0501,47,3.615,0.526,2.98,0.0,1,1
8,1.87,300.0,105.0,12.0,20.0,0.1,0.0251,10.42344,0.7718,0.2231,0.227,nan,0.004,21,1.615,1.056,2.449,0.0,1,0
8,1.87,300.0,105.0,12.0,20.0,0.3,0.1246,0.97122,0.1365,0.768,0.668,0.007,0.0056,49,3.769,0.517,2.617,0.0,1,1
8,1.87,300.0,105.0,12.0,20.0,0.5,0.0638,0.31815,0.0073,0.9404,0.938,0.0248,0.0234,78,6.0,0.49,3.432,0.0,1,1
8,1.87,300.0,105.0,12.0,20.0,0.7,0.0811,0.13572,0.0095,0.9905,0.994,0.0506,0.0502,48,3.692,0.515,2.981,0.0,1,1
9,1.92,300.0,115.0,12.0,20.0,0.1,0.029,5.70081,0.7369,0.2572,0.259,0.0035,0.0038,26,2.0,0.626,2.854,0.0,1,0
9,1.92,300.0,115.0,12.0,20.0,0.3,0.1471,0.9623,0.1522,0.7348,0.659,0.0054,0.0069,50,3.846,0.518,2.992,0.0,1,1
9,1.92,300.0,115.0,12.0,20.0,0.5,0.0987,0.28672,0.0055,0.9528,0.956,0.0314,0.0328,60,4.615,0.492,3.365,0.0,1,1
9,1.92,300.0,115.0,12.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
10,1.7,280.0,115.0,20.0,10.0,0.1,0.0866,2.91716,0.7156,0.2776,0.281,0.0036,0.0035,26,2.0,0.567,2.207,0.0,1,0
10,1.7,280.0,115.0,20.0,10.0,0.3,-0.0028,0.55195,0.2026,0.6867,0.642,0.0072,0.0128,45,3.462,0.012,2.504,0.0,1,1
10,1.7,280.0,115.0,20.0,10.0,0.5,0.1261,0.155,0.0086,0.9732,0.977,0.0295,0.0244,83,6.385,0.507,2.819,0.0,1,1
10,1.7,280.0,115.0,20.0,10.0,0.7,0.0909,0.09651,0.0102,0.9896,0.993,0.0564,0.051,44,3.385,0.475,2.385,0.0,1,1
11,1.4,320.0,95.0,20.0,10.0,0.1,0.0663,2.07076,0.6223,0.3659,0.264,0.005,0.0052,55,4.231,0.473,1.814,0.0,1,0
11,1.4,320.0,95.0,20.0,10.0,0.3,0.1288,0.54312,0.2362,0.6957,0.59,0.0101,0.0078,54,4.154,0.504,2.327,0.0,1,1
11,1.4,320.0,95.0,20.0,10.0,0.5,0.123,0.21824,0.0964,0.88,0.87,0.0278,0.0191,61,4.692,0.48,2.678,0.0,1,1
11,1.4,320.0,95.0,20.0,10.0,0.7,0.0468,0.1634,0.0211,0.9765,0.969,0.0552,0.0491,41,3.154,0.487,2.768,0.0,1,1
12,1.78,320.0,95.0,12.0,20.0,0.1,0.0072,37.0,0.7581,0.2378,0.219,nan,0.0038,17,1.308,1.074,2.224,0.0,1,0
12,1.78,320.0,95.0,12.0,20.0,0.3,-0.0018,0.72204,0.2021,0.7071,0.61,0.0087,0.0044,47,3.615,0.508,2.511,0.0,1,1
12,1.78,320.0,95.0,12.0,20.0,0.5,0.0965,0.33908,0.0048,0.9439,0.939,0.0245,0.023,81,6.231,0.504,3.411,0.0,1,1
12,1.78,320.0,95.0,12.0,20.0,0.7,0.0436,0.17154,0.0051,0.9944,0.996,0.0521,0.0494,45,3.462,0.53,2.847,0.0,1,1
13,1.89,300.0,115.0,12.0,20.0,0.1,0.0304,7.03699,0.7469,0.2465,0.253,0.0034,0.0043,24,1.846,0.687,2.804,0.0,1,0
13,1.89,300.0,115.0,12.0,20.0,0.3,0.1379,1.00008,0.1565,0.7343,0.657,0.0056,0.0062,49,3.769,0.514,2.946,0.0,1,1
13,1.89,300.0,115.0,12.0,20.0,0.5,0.0966,0.28828,0.0059,0.9511,0.954,0.0292,0.0313,66,5.077,0.482,3.382,0.0,1,1
13,1.89,300.0,115.0,12.0,20.0,0.7,0.083,0.15475,0.0064,0.9936,0.996,0.053,0.0526,48,3.692,0.534,3.101,0.0,1,1
