rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.9,280.0,105.0,28.0,10.0,0.1,0.1616,1.80034,0.6168,0.3769,0.35,0.0053,0.0102,49,3.769,0.52,2.55,0.0,1,1
1,1.9,280.0,105.0,28.0,10.0,0.3,-0.1522,0.21381,0.1028,0.6029,0.615,0.0209,0.0126,60,4.615,0.233,3.345,0.0,1,1
1,1.9,280.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.9,280.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.88,280.0,105.0,28.0,10.0,0.1,0.1606,1.74994,0.6258,0.3666,0.338,0.0054,0.0098,50,3.846,0.505,2.517,0.0,1,1
2,1.88,280.0,105.0,28.0,10.0,0.3,-0.1576,0.21625,0.1061,0.6048,0.615,0.0186,0.0078,66,5.077,0.267,3.325,0.0,1,1
2,1.88,280.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.88,280.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.82,280.0,105.0,28.0,10.0,0.1,0.1529,1.81427,0.6224,0.3696,0.332,0.0056,0.0088,42,3.231,0.52,2.435,0.0,1,1
3,1.82,280.0,105.0,28.0,10.0,0.3,-0.0602,0.23494,0.1192,0.6067,0.617,0.0152,0.0127,76,5.846,0.384,3.259,0.0,1,1
3,1.82,280.0,105.0,28.0,10.0,0.5,0.352,nan,0.0217,0.6378,0.668,0.0327,0.0239,2,3.546,nan,60.989,0.375,0,0
3,1.82,280.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,280.0,105.0,28.0,10.0,0.1,0.1618,1.74013,0.5833,0.4118,0.399,0.0052,0.0106,52,4.0,0.513,2.707,0.0,1,1
4,1.98,280.0,105.0,28.0,10.0,0.3,-0.128,0.21389,0.0877,0.6158,0.626,0.0219,0.0163,60,4.615,0.178,3.418,0.0,1,1
4,1.98,280.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,280.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.97,280.0,105.0,28.0,10.0,0.1,0.1626,1.7287,0.5877,0.4073,0.394,0.0053,0.01,52,4.0,0.51,2.692,0.0,1,1
5,1.97,280.0,105.0,28.0,10.0,0.3,-0.1299,0.21357,0.0911,0.6123,0.622,0.0215,0.0207,60,4.615,0.173,3.406,0.0,1,1
5,1.97,280.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.97,280.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.96,280.0,105.0,28.0,10.0,0.1,0.163,1.75513,0.5891,0.4055,0.391,0.0055,0.0108,51,3.923,0.517,2.681,0.0,1,1
6,1.96,280.0,105.0,28.0,10.0,0.3,-0.1344,0.21257,0.0881,0.6154,0.625,0.0215,0.0158,61,4.692,0.185,3.387,0.0,1,1
6,1.96,280.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.96,280.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
7,1.76,290.0,115.0,28.0,10.0,0.1,0.1519,1.936,0.601,0.3904,0.35,0.0059,0.006,46,3.538,0.518,2.798,0.0,1,1
7,1.76,290.0,115.0,28.0,10.0,0.3,0.1285,0.23049,0.1291,0.5445,0.562,0.0151,0.0196,90,6.923,0.508,3.573,0.0,1,1
7,1.76,290.0,115.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
7,1.76,290.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
8,1.75,290.0,115.0,28.0,10.0,0.1,0.153,1.98889,0.6079,0.3857,0.343,0.0062,0.0068,45,3.462,0.534,2.764,0.0,1,1
8,1.75,290.0,115.0,28.0,10.0,0.3,-0.0554,0.23663,0.1419,0.5415,0.559,0.0151,0.0199,89,6.846,0.398,3.55,0.0,1,1
8,1.75,290.0,115.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
8,1.75,290.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
9,1.84,290.0,115.0,28.0,10.0,0.1,0.1462,1.98113,0.5459,0.4397,0.405,0.0057,0.0097,55,4.231,0.511,3.017,0.0,1,1
9,1.84,290.0,115.0,28.0,10.0,0.3,0.1614,0.20228,0.1357,0.4986,0.524,0.0174,0.0189,81,6.231,0.516,3.723,0.0,1,1
9,1.84,290.0,115.0,28.0,10.0,0.5,0.3061,0.13527,0.0026,0.739,0.758,0.0573,0.034,14,4.924,0.573,22.824,0.061,0,0
9,1.84,290.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
10,1.8,280.0,105.0,28.0,10.0,0.1,0.1509,1.85737,0.6309,0.3599,0.324,0.0057,0.0083,42,3.231,0.527,2.399,0.0,1,1
10,1.8,280.0,105.0,28.0,10.0,0.3,-0.0884,0.23449,0.1276,0.5982,0.606,0.0147,0.0142,79,6.077,0.357,3.246,0.0,1,1
10,1.8,280.0,105.0,28.0,10.0,0.5,0.1187,0.43102,0.0763,0.6603,0.691,0.0333,0.0227,8,5.125,1.143,36.878,0.083,0,0
10,1.8,280.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
11,1.81,290.0,105.0,28.0,10.0,0.1,0.1488,1.81688,0.5196,0.4633,0.408,0.006,0.0063,47,3.615,0.521,2.773,0.0,1,1
11,1.81,290.0,105.0,28.0,10.0,0.3,0.2326,0.23283,0.1344,0.5667,0.577,0.0227,0.0065,66,5.077,0.494,3.506,0.0,1,1
11,1.81,290.0,105.0,28.0,10.0,0.5,0.1853,0.43167,0.007,0.7036,0.767,0.0512,0.0283,4,3.738,2.339,37.52,0.138,0,0
11,1.81,290.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
12,1.72,290.0,115.0,28.0,10.0,0.1,0.1502,1.96646,0.6229,0.3701,0.324,0.0061,0.0066,43,3.308,0.526,2.686,0.0,1,1
12,1.72,290.0,115.0,28.0,10.0,0.3,0.137,0.24949,0.1433,0.5517,0.567,0.0144,0.0186,89,6.846,0.481,3.505,0.0,1,1
12,1.72,290.0,115.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
12,1.72,290.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
13,1.84,280.0,95.0,28.0,10.0,0.1,0.1456,1.68779,0.5493,0.4311,0.379,0.0048,0.0059,48,3.692,0.519,2.342,0.0,1,1
13,1.84,280.0,95.0,28.0,10.0,0.3,0.2688,0.30224,0.1068,0.6743,0.681,0.0122,0.0131,72,5.538,0.51,3.031,0.0,1,1
13,1.84,280.0,95.0,28.0,10.0,0.5,0.0467,0.20927,0.0062,0.7607,0.802,0.0309,0.0244,11,4.898,0.728,26.498,0.065,0,0
13,1.84,280.0,95.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
