rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.98,300.0,105.0,28.0,10.0,0.1,0.1168,2.06946,0.2945,0.6125,0.553,0.0105,0.0158,51,3.923,0.504,3.607,0.0,1,1
1,1.98,300.0,105.0,28.0,10.0,0.3,0.2974,0.25741,0.1219,0.5495,0.571,0.0305,0.0168,60,4.615,0.49,4.035,0.0,1,1
1,1.98,300.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.98,300.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.97,340.0,125.0,20.0,20.0,0.1,0.1095,2.11519,0.3535,0.6001,0.486,0.0055,0.009,60,4.615,0.478,4.349,0.0,1,1
2,1.97,340.0,125.0,20.0,20.0,0.3,0.2749,0.45483,0.0879,0.6823,0.679,0.0248,0.0136,70,5.385,0.514,5.395,0.0,1,1
2,1.97,340.0,125.0,20.0,20.0,0.5,-0.0261,0.2068,0.0008,0.7603,0.796,0.0412,0.0461,58,4.462,0.125,4.471,0.033,1,1
2,1.97,340.0,125.0,20.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.88,40.0,105.0,28.0,10.0,0.1,0.0053,1.96867,0.3568,0.6025,0.544,0.0074,0.0102,59,4.538,0.041,3.757,0.0,1,1
3,1.88,40.0,105.0,28.0,10.0,0.3,0.2808,0.50337,0.089,0.7154,0.728,0.0068,0.0052,75,5.769,0.51,3.921,0.0,1,1
3,1.88,40.0,105.0,28.0,10.0,0.5,0.0658,0.22665,0.0002,0.9727,0.969,0.0565,0.0454,56,4.308,0.277,2.092,0.0,1,1
3,1.88,40.0,105.0,28.0,10.0,0.7,-0.1443,0.19255,0.0017,0.9187,0.957,0.062,0.0557,17,3.932,0.625,4.717,0.022,0,0
4,1.86,0.0,115.0,24.0,10.0,0.1,-0.0209,2.08882,0.3137,0.6377,0.55,0.0064,0.0123,51,3.923,0.099,3.607,0.0,1,1
4,1.86,0.0,115.0,24.0,10.0,0.3,0.2465,0.41491,0.0538,0.7068,0.712,0.0194,0.0117,73,5.615,0.429,4.344,0.0,1,1
4,1.86,0.0,115.0,24.0,10.0,0.5,0.0174,0.6344,0.0004,0.976,0.963,0.0279,0.0462,68,5.231,0.231,2.681,0.0,1,1
4,1.86,0.0,115.0,24.0,10.0,0.7,-0.0419,0.24953,0.0012,0.8989,0.928,0.0586,0.0467,13,4.051,0.504,3.963,0.013,0,0
5,1.96,340.0,125.0,20.0,20.0,0.1,0.1114,2.08139,0.3555,0.6024,0.483,0.0056,0.0089,63,4.846,0.476,4.326,0.0,1,1
5,1.96,340.0,125.0,20.0,20.0,0.3,0.3084,0.39706,0.0944,0.6712,0.682,0.0205,0.0106,78,6.0,0.502,5.28,0.0,1,1
5,1.96,340.0,125.0,20.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.96,340.0,125.0,20.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.93,280.0,95.0,28.0,10.0,0.1,0.149,1.66054,0.5006,0.4766,0.429,0.005,0.0058,48,3.692,0.52,2.491,0.0,1,1
6,1.93,280.0,95.0,28.0,10.0,0.3,0.2969,0.29288,0.1,0.6518,0.664,0.0112,0.0258,63,4.846,0.516,3.148,0.0,1,1
6,1.93,280.0,95.0,28.0,10.0,0.5,-0.1217,0.17847,0.0333,0.7593,0.785,0.025,0.031,21,5.484,0.558,23.758,0.056,0,0
6,1.93,280.0,95.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
7,1.87,40.0,105.0,28.0,10.0,0.1,0.0023,1.99302,0.3626,0.6038,0.543,0.0074,0.0104,61,4.692,0.018,3.732,0.0,1,1
7,1.87,40.0,105.0,28.0,10.0,0.3,0.1703,0.59605,0.1114,0.6908,0.696,0.0098,0.0094,81,6.231,0.488,4.674,0.0,1,1
7,1.87,40.0,105.0,28.0,10.0,0.5,0.0635,0.214,0.0,0.9679,0.973,0.0479,0.052,58,4.462,0.433,2.124,0.0,1,1
7,1.87,40.0,105.0,28.0,10.0,0.7,-0.4757,nan,0.0019,0.5893,0.651,0.0085,0.0231,2,4.494,nan,11.1,0.07,0,0
8,1.95,30.0,95.0,28.0,10.0,0.1,-0.0177,1.82454,0.3112,0.6477,0.585,0.0072,0.0111,57,4.385,0.102,3.605,0.0,1,1
8,1.95,30.0,95.0,28.0,10.0,0.3,0.113,0.54676,0.1096,0.6899,0.694,0.0092,0.0086,72,5.538,0.468,4.476,0.0,1,1
8,1.95,30.0,95.0,28.0,10.0,0.5,-0.0491,0.32834,0.0007,0.9679,0.957,0.0489,0.0526,53,4.077,0.384,1.886,0.0,1,1
8,1.95,30.0,95.0,28.0,10.0,0.7,-0.3909,nan,0.006,0.6308,0.746,0.0118,0.0699,2,3.992,nan,8.258,0.164,0,0
9,1.96,330.0,125.0,20.0,20.0,0.1,0.0271,6.27584,0.3959,0.5838,0.478,0.0051,0.0076,57,4.385,0.406,4.27,0.0,1,1
9,1.96,330.0,125.0,20.0,20.0,0.3,0.2722,0.42773,0.1126,0.6362,0.64,0.0154,0.0112,73,5.615,0.507,4.949,0.0,1,1
9,1.96,330.0,125.0,20.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
9,1.96,330.0,125.0,20.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
10,1.95,330.0,125.0,20.0,20.0,0.1,0.0209,9.40175,0.3957,0.5871,0.481,0.0055,0.0075,51,3.923,0.495,4.228,0.0,1,1
