freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.9,280.0,105,28,10,0.1,0.1685,0.8
1.88,280.0,105,28,10,0.1,0.1666,0.8
1.82,280.0,105,28,10,0.1,0.1634,0.8
1.98,280.0,105,28,10,0.1,0.1599,0.933
1.97,280.0,105,28,10,0.1,0.1598,0.933
1.96,280.0,105,28,10,0.1,0.1588,0.8
1.76,290.0,115,28,10,0.1,0.1566,0.8
1.75,290.0,115,28,10,0.1,0.1533,0.867
1.84,290.0,115,28,10,0.1,0.1528,0.8
1.8,280.0,105,28,10,0.1,0.1516,0.867
1.81,290.0,105,28,10,0.1,0.1516,0.8
1.72,290.0,115,28,10,0.1,0.151,0.8
1.84,280.0,95,28,10,0.1,0.1509,1.0
1.86,290.0,115,28,10,0.1,0.1509,0.867
1.94,280.0,115,28,10,0.1,0.1506,0.867
1.71,290.0,115,28,10,0.1,0.1502,0.867
1.79,280.0,105,28,10,0.1,0.1497,0.867
1.85,280.0,95,28,10,0.1,0.1495,0.933
1.82,280.0,95,28,10,0.1,0.1484,0.867
1.81,280.0,105,28,10,0.1,0.1483,0.867
1.74,290.0,115,28,10,0.1,0.1482,0.867
1.86,280.0,95,28,10,0.1,0.148,0.867
1.41,320.0,125,28,10,0.1,0.1475,0.8
1.63,290.0,115,28,10,0.1,0.1466,0.8
1.83,280.0,95,28,10,0.1,0.1466,0.867
1.98,270.0,105,28,10,0.1,0.1466,0.867
1.86,280.0,115,28,10,0.1,0.1459,0.867
1.85,290.0,95,28,10,0.1,0.1457,0.933
1.78,280.0,115,28,10,0.1,0.1454,0.8
1.73,290.0,115,28,10,0.1,0.1451,0.867
1.67,320.0,115,28,10,0.1,0.1449,0.8
1.82,290.0,95,28,10,0.1,0.1443,0.867
1.82,280.0,115,28,10,0.1,0.1441,0.8
1.85,280.0,115,28,10,0.1,0.1438,0.867
1.91,280.0,115,28,10,0.1,0.1433,0.867
1.91,290.0,105,28,10,0.1,0.143,0.867
1.42,320.0,125,28,10,0.1,0.1428,0.8
1.78,280.0,105,24,20,0.1,0.1425,0.8
1.84,290.0,95,28,10,0.1,0.1425,1.0
1.83,290.0,95,28,10,0.1,0.1423,0.867
1.84,280.0,115,28,10,0.1,0.1421,0.867
1.56,280.0,115,28,10,0.1,0.142,0.8
1.95,270.0,95,28,10,0.1,0.1418,0.8
1.58,310.0,105,28,10,0.1,0.1413,0.867
1.73,280.0,115,28,10,0.1,0.1413,0.8
1.77,280.0,115,28,10,0.1,0.1413,0.8
1.57,310.0,105,28,10,0.1,0.1406,0.8
1.76,280.0,105,24,20,0.1,0.1405,0.8
1.57,290.0,125,28,10,0.1,0.1404,0.933
1.88,260.0,115,24,20,0.1,0.1404,0.8
