freq,hip_phi,leg_amp,hip_amp,hip_off,mu,pass_rate,surv_rate,net_fwd_mean,net_fwd_min,slip_mean,head_mean
1.98,280.0,105.0,28.0,10.0,0.1,0.6,0.6,0.0975,0.0,1.7599,0.9164
1.72,290.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1178,0.0,1.9778,0.9755
1.82,280.0,105.0,28.0,10.0,0.1,0.6,0.6,0.0929,0.0,1.7801,0.944
1.97,280.0,105.0,28.0,10.0,0.1,0.6,0.6,0.0954,0.0,1.7959,0.9095
1.88,280.0,105.0,28.0,10.0,0.1,0.8,0.8,0.1279,0.0,1.7524,0.9448
1.75,290.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1206,0.0,2.0011,0.9741
1.76,290.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1246,0.0,1.9079,0.9718
1.81,280.0,105.0,28.0,10.0,0.1,1.0,1.0,0.1519,0.1479,1.8636,0.9402
1.8,280.0,105.0,28.0,10.0,0.1,0.4,0.4,0.0624,0.0,1.7979,0.9516
1.96,280.0,105.0,28.0,10.0,0.1,1.0,1.0,0.1599,0.1574,1.8014,0.9182
1.9,280.0,105.0,28.0,10.0,0.1,1.0,1.0,0.1633,0.1569,1.7777,0.9469
1.84,280.0,95.0,28.0,10.0,0.1,0.6,0.6,0.0891,0.0,1.654,0.9385
1.85,290.0,95.0,28.0,10.0,0.1,0.8,0.8,0.1149,0.0,1.6599,0.955
1.71,290.0,115.0,28.0,10.0,0.1,0.6,0.6,0.089,0.0,1.9296,0.9768
1.81,290.0,105.0,28.0,10.0,0.1,0.8,0.8,0.1207,0.0,1.7985,0.9707
1.84,290.0,115.0,28.0,10.0,0.1,0.4,0.4,0.0601,0.0,2.0139,0.957
1.91,290.0,105.0,28.0,10.0,0.1,0.6,0.6,0.0852,0.0,1.8763,0.9703
1.94,280.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1151,0.0,1.9959,0.8819
1.58,310.0,105.0,28.0,10.0,0.1,0.6,0.6,0.0846,0.0,1.6988,0.9977
1.86,290.0,115.0,28.0,10.0,0.1,0.6,0.6,0.0878,0.0,2.0467,0.9485
1.74,290.0,115.0,28.0,10.0,0.1,0.6,0.6,0.0901,0.0,1.9746,0.9771
1.94,260.0,125.0,24.0,10.0,0.5,0.6,0.6,0.1604,0.0,0.1211,0.9854
1.63,290.0,115.0,28.0,10.0,0.1,0.6,0.6,0.0878,0.0,1.937,0.9921
1.79,280.0,105.0,28.0,10.0,0.1,0.6,0.6,0.0911,0.0,1.8015,0.9519
1.86,270.0,115.0,24.0,10.0,0.5,0.4,0.8,0.0879,-0.0132,0.1395,0.979
1.85,280.0,95.0,28.0,10.0,0.1,1.0,1.0,0.1417,0.1325,1.7418,0.9287
1.86,280.0,95.0,28.0,10.0,0.1,0.6,0.6,0.0869,0.0,1.7272,0.9277
1.82,280.0,95.0,28.0,10.0,0.1,1.0,1.0,0.1445,0.1412,1.7109,0.9303
1.41,320.0,125.0,28.0,10.0,0.1,0.8,0.8,0.114,0.0,1.5865,0.9978
1.86,240.0,125.0,20.0,10.0,0.5,1.0,1.0,0.2285,0.2112,0.1582,0.9913
1.78,280.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1121,0.0,1.9985,0.9288
1.69,260.0,105.0,24.0,10.0,0.7,0.2,0.2,0.0863,0.0,0.1061,0.9983
1.82,290.0,95.0,28.0,10.0,0.1,0.8,0.8,0.1151,0.0,1.6422,0.952
1.73,290.0,115.0,28.0,10.0,0.1,0.6,0.6,0.0888,0.0,1.9863,0.9773
1.83,280.0,95.0,28.0,10.0,0.1,0.8,0.8,0.1179,0.0,1.6645,0.9346
1.6,280.0,125.0,24.0,10.0,0.7,0.6,0.6,0.2264,-0.5723,0.1076,0.621
1.42,320.0,125.0,28.0,10.0,0.1,0.6,0.6,0.0851,0.0,1.6054,0.9977
1.99,280.0,105.0,28.0,10.0,0.1,0.8,0.8,0.1321,0.0,1.7693,0.9227
1.67,320.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1146,0.0,1.6868,0.9989
1.83,290.0,95.0,28.0,10.0,0.1,0.6,0.6,0.0869,0.0,1.627,0.9548
1.86,280.0,115.0,28.0,10.0,0.1,0.8,0.8,0.119,0.0,1.9601,0.8969
1.98,270.0,105.0,28.0,10.0,0.1,1.0,1.0,0.1374,0.1295,1.888,0.8497
1.85,280.0,115.0,28.0,10.0,0.1,0.2,0.2,0.0288,0.0,2.0459,0.8942
1.78,280.0,105.0,24.0,20.0,0.1,0.6,0.6,0.0824,0.0,1.911,0.9925
1.58,330.0,115.0,28.0,10.0,0.1,0.6,0.6,0.0968,0.0,1.5097,0.9944
1.82,280.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1154,0.0,1.941,0.9156
1.84,290.0,95.0,28.0,10.0,0.1,0.6,0.6,0.0869,0.0,1.6236,0.9571
1.76,280.0,105.0,24.0,20.0,0.1,0.6,0.6,0.0831,0.0,1.8748,0.9914
1.91,280.0,115.0,28.0,10.0,0.1,0.6,0.6,0.0848,0.0,2.0773,0.8806
1.96,280.0,105.0,28.0,10.0,0.1,1.0,1.0,0.1599,0.1574,1.8014,0.9182
1.97,260.0,85.0,28.0,10.0,0.5,0.2,0.2,0.0859,0.0,0.2305,0.9892
1.95,270.0,95.0,28.0,10.0,0.1,0.4,0.4,0.0569,0.0,1.7599,0.8853
1.77,280.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1083,0.0,2.0503,0.927
1.73,280.0,115.0,28.0,10.0,0.1,1.0,1.0,0.1336,0.1291,2.1052,0.9423
1.95,30.0,125.0,28.0,10.0,0.3,0.4,0.6,0.3218,-0.0188,1.3452,0.9645
1.56,280.0,115.0,28.0,10.0,0.1,1.0,1.0,0.1293,0.1176,1.9621,0.9624
1.84,280.0,115.0,28.0,10.0,0.1,0.8,0.8,0.1161,0.0,1.99,0.9037
1.96,10.0,125.0,24.0,10.0,0.3,0.6,0.8,0.2461,0.0,0.224,0.9897
1.78,250.0,125.0,24.0,10.0,0.5,0.4,0.4,0.0881,-0.2163,0.4201,0.9843
2.0,260.0,85.0,24.0,10.0,0.5,0.6,0.8,0.1382,0.0,0.2335,0.9851
1.84,260.0,115.0,24.0,10.0,0.5,0.8,0.8,0.1543,0.0,0.1485,0.9628
1.57,310.0,105.0,28.0,10.0,0.1,1.0,1.0,0.1378,0.1336,1.7277,0.9982
1.88,260.0,115.0,24.0,20.0,0.1,0.6,0.6,0.0836,0.0,1.86,0.9322
1.76,250.0,125.0,24.0,10.0,0.5,0.2,0.2,0.0914,0.0,0.1478,0.013
1.57,290.0,125.0,28.0,10.0,0.1,0.6,0.6,0.0817,0.0,2.0968,0.992
1.92,260.0,125.0,24.0,10.0,0.7,0.2,0.2,0.2805,0.0,0.1914,0.9871
1.85,260.0,125.0,24.0,10.0,0.5,1.0,1.0,0.1976,0.0847,0.1343,0.9871
1.84,260.0,125.0,24.0,10.0,0.5,0.6,0.6,0.1319,0.0,0.1394,0.9845
1.85,250.0,115.0,24.0,10.0,0.5,0.2,0.4,0.0667,0.0,0.2039,0.9873
1.82,260.0,125.0,24.0,10.0,0.5,0.6,0.6,0.1196,0.0,0.1336,0.9848
2.0,250.0,125.0,20.0,10.0,0.5,0.4,0.6,0.0966,0.0,0.1485,0.9866
1.96,240.0,125.0,20.0,10.0,0.5,0.2,1.0,0.0377,-0.0234,0.1412,0.9923
1.97,270.0,115.0,24.0,10.0,0.5,0.8,0.8,0.1708,0.0,0.1444,0.9788
1.89,240.0,125.0,20.0,10.0,0.5,0.6,0.6,0.1421,0.0,0.1701,0.9937
1.89,240.0,105.0,28.0,10.0,0.7,0.2,0.2,-0.0006,-0.1887,0.1316,0.9645
1.83,260.0,115.0,24.0,10.0,0.5,0.4,0.4,0.0724,0.0,0.1862,0.9829
1.63,240.0,105.0,24.0,10.0,0.7,0.2,1.0,0.0438,0.0002,0.3346,-0.2177
1.87,250.0,125.0,20.0,10.0,0.5,0.6,0.6,0.1402,0.0,0.1557,0.9827
1.91,250.0,125.0,20.0,10.0,0.5,0.4,0.8,0.0718,-0.0523,0.1471,0.9854
1.87,270.0,125.0,24.0,10.0,0.5,0.8,0.8,0.1871,0.0,0.1436,0.9758
1.54,270.0,95.0,24.0,10.0,0.7,0.2,0.4,0.0106,-0.0944,0.1271,0.9287
2.0,250.0,125.0,24.0,10.0,0.7,0.2,0.2,0.0717,0.0,0.1183,0.99
1.68,240.0,125.0,20.0,10.0,0.7,0.2,0.4,0.1644,0.0,0.0986,0.3494
1.99,240.0,105.0,24.0,10.0,0.7,0.2,0.2,0.2734,-0.0069,0.1711,0.8592
1.76,240.0,125.0,24.0,10.0,0.7,0.2,0.6,0.0127,-0.0802,0.1001,0.9967
1.88,250.0,125.0,16.0,20.0,0.7,0.4,0.6,0.033,-0.0833,0.1173,0.9896
1.61,270.0,125.0,24.0,10.0,0.7,0.2,0.2,0.0736,0.0,0.1553,0.9943
