ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,0.0
500k,500000,0,-0.0
750k,750000,3,0.0236
1000k,1000000,0,0.0263
1250k,1250000,0,-0.0004
1500k,1500000,3,0.0448
1750k,1750000,8,0.1145
2000k,2000000,11,0.2123
2250k,2250000,8,0.1814
2500k,2500000,8,0.1734
2750k,2750000,8,0.2149
3000k,3000000,8,0.2245
final,1000000000,8,0.2286
