ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0001
500k,500000,0,-0.0001
750k,750000,0,-0.0001
1000k,1000000,0,-0.0001
1250k,1250000,0,0.0032
1500k,1500000,0,0.0004
1750k,1750000,0,0.0093
2000k,2000000,0,0.0127
2250k,2250000,0,0.0117
2500k,2500000,0,0.0105
2750k,2750000,2,0.0717
3000k,3000000,1,0.0637
final,1000000000,2,0.2514
