steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_straight,r_dutybal,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2045,121.2548,0.9169,10.7026,1.4283,0.1200,72.8258,0.0016,0.0016,0.0013,0.3391,8.3803,0.1486,0.3013,0.0238,-0.1149,0.0000,0.0000,0.0000,-0.0128,-0.1647,0.0000,-0.0107,-0.1476,-0.0337,0.3468,0.3446,0.3711,0.3475,0.3596
500000,783,319.5977,0.5645,25.7699,2.5849,0.1200,76.0286,0.0025,0.0029,-0.0702,0.3622,8.8025,0.4950,0.4311,0.0548,-0.0626,0.0000,0.0000,0.0000,-0.0121,-0.1517,0.0000,-0.0047,-0.0687,0.0235,0.3341,0.3382,0.3783,0.3364,0.3643
750000,680,367.5324,0.4353,26.6661,7.8688,0.1200,66.9862,0.0028,0.0030,-0.0485,0.3712,8.9306,0.4499,0.4529,0.0517,-0.0539,0.0000,0.0000,0.0000,-0.0121,-0.1475,0.0000,-0.0038,-0.0495,0.0248,0.3256,0.3283,0.3823,0.3292,0.3609
1000000,628,399.1672,0.3185,25.9224,11.3071,0.3700,60.4474,0.0031,0.0035,-0.0485,0.4103,8.9764,0.4279,0.1321,0.0536,-0.0541,0.0000,0.0000,0.0000,-0.0119,-0.1430,0.0000,-0.0052,-0.0400,0.0265,0.3220,0.3238,0.3814,0.3262,0.3622
1250000,1009,248.1051,0.7830,27.9909,15.4286,0.3700,85.4693,0.0047,0.0044,0.0258,0.4712,12.1209,0.3227,0.0913,0.0847,-0.0614,0.0000,0.0000,0.0000,-0.0108,-0.1400,0.0000,-0.0069,-0.0775,0.0540,0.2975,0.3051,0.3826,0.3014,0.3536
1500000,1218,205.0074,0.9072,28.4742,15.2855,0.3700,93.2589,0.0051,0.0051,-0.0063,0.4923,13.3287,0.2874,0.1110,0.0952,-0.0663,0.0000,0.0000,0.0000,-0.0103,-0.1301,0.0000,-0.0066,-0.0862,0.0620,0.2827,0.2878,0.3836,0.2855,0.3587
1750000,1144,218.7185,0.8846,27.4191,13.0761,0.3700,95.1839,0.0063,0.0060,-0.0050,0.5265,14.8034,0.1206,0.1250,0.1030,-0.0711,0.0000,0.0000,0.0000,-0.0099,-0.1274,0.0000,-0.0046,-0.0796,0.0674,0.2727,0.2766,0.3819,0.2770,0.3557
2000000,894,278.8020,0.7472,23.2215,7.2398,0.3700,99.6513,0.0084,0.0064,0.0798,0.5714,14.9451,-0.1525,0.1276,0.1028,-0.0926,0.0000,0.0000,0.0000,-0.0099,-0.1231,0.0000,-0.0055,-0.0700,0.0565,0.2631,0.2674,0.3806,0.2698,0.3564
2250000,810,307.9136,0.6531,19.5935,5.1138,0.3700,100.8308,0.0086,0.0076,0.0202,0.6145,15.2278,-0.3101,0.1443,0.1144,-0.0813,0.0000,0.0000,0.0000,-0.0099,-0.1224,0.0000,-0.0035,-0.0630,0.0737,0.2563,0.2625,0.3763,0.2654,0.3611
2500000,718,348.8398,0.5390,20.7206,7.7336,0.3700,92.4944,0.0110,0.0098,0.0264,0.6372,15.7240,-0.3352,0.2024,0.1512,-0.0606,0.0000,0.0000,0.0000,-0.0100,-0.1271,0.0000,-0.0027,-0.0483,0.1209,0.2496,0.2545,0.3795,0.2623,0.3631
2750000,710,351.5803,0.4944,21.2287,8.3877,0.3700,90.3957,0.0133,0.0114,0.0206,0.6326,15.6387,-0.3140,0.2371,0.1701,-0.0650,0.0000,0.0000,0.0000,-0.0102,-0.1346,0.0000,-0.0031,-0.0592,0.1376,0.2436,0.2494,0.3836,0.2609,0.3628
3000000,656,381.1707,0.3902,20.8829,6.5744,0.4200,93.1611,0.0188,0.0147,0.0681,0.6444,16.0197,-0.3612,0.2581,0.2171,-0.0550,0.0000,0.0000,0.0000,-0.0102,-0.1456,0.0000,-0.0027,-0.0485,0.1896,0.2403,0.2433,0.3870,0.2593,0.3636
