steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2277,109.3825,0.9811,16.2839,0.6617,9.3157,0.2302,0.2510,0.0594,-0.2361,-0.0037,0.0687,-0.1321,-0.0137,-0.1500,-0.0587,0.3547,0.3568,0.3613,0.3654,0.3702
500000,1162,214.1885,0.8158,27.2138,0.6763,7.9093,0.5312,0.3188,0.1032,-0.1413,-0.0035,0.0574,-0.1165,-0.0146,-0.0989,0.0326,0.3512,0.3471,0.3690,0.3670,0.3735
750000,606,413.0974,0.2244,25.7485,0.6681,6.7206,0.4011,0.3602,0.0580,-0.1306,-0.0034,0.0515,-0.0873,-0.0157,-0.0401,-0.0073,0.3372,0.3378,0.3689,0.3652,0.3799
1000000,579,431.7927,0.1727,27.6676,0.6611,6.4415,0.4225,0.3732,0.0540,-0.1206,-0.0034,0.0487,-0.0813,-0.0163,-0.0348,-0.0063,0.3333,0.3299,0.3665,0.3661,0.3813
