ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0002
500k,500000,0,0.0113
750k,750000,0,0.0092
1000k,1000000,2,0.0409
1250k,1250000,1,0.0248
1500k,1500000,2,0.1838
1750k,1750000,2,0.2655
2000k,2000000,2,0.1904
2250k,2250000,2,0.2774
2500k,2500000,2,0.3085
2750k,2750000,2,0.3251
3000k,3000000,0,0.0276
final,1000000000,0,0.0188
