ckpt,steps,n_pass,mean_net_fwd
250k,250000,6,0.1814
500k,500000,10,0.3561
750k,750000,10,0.4591
1000k,1000000,10,0.4764
1250k,1250000,10,0.357
1500k,1500000,9,0.3217
1750k,1750000,11,0.3769
2000k,2000000,11,0.4211
2250k,2250000,9,0.4236
2500k,2500000,9,0.3497
2750k,2750000,7,0.2071
3000k,3000000,9,0.2608
final,1000000000,9,0.2858
