steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_straight,r_dutybal,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1415,175.1731,0.8431,11.7105,1.9234,0.1200,67.3936,0.0019,0.0020,-0.0182,0.3607,8.7900,0.1390,0.3330,0.0292,-0.0995,0.0000,0.0000,0.0000,-0.0129,-0.1656,0.0000,-0.0098,-0.1172,-0.0206,0.3481,0.3492,0.3690,0.3459,0.3725
500000,763,328.3434,0.5347,27.9739,7.6949,0.1200,75.0449,0.0024,0.0030,-0.1045,0.3487,8.9896,0.5051,0.4514,0.0566,-0.0538,0.0000,0.0000,0.0000,-0.0127,-0.1521,0.0000,-0.0130,-0.0626,0.0296,0.3338,0.3332,0.3687,0.3331,0.3887
750000,681,365.6432,0.4141,26.6109,11.1429,0.1700,62.8217,0.0027,0.0033,-0.0912,0.3802,8.7339,0.4830,0.4029,0.0510,-0.0546,0.0000,0.0000,0.0000,-0.0125,-0.1458,0.0000,-0.0168,-0.0518,0.0238,0.3238,0.3218,0.3724,0.3219,0.3903
1000000,642,391.1012,0.3707,26.6346,11.4678,0.3700,65.1900,0.0038,0.0045,-0.0742,0.4674,10.0758,0.3687,0.1874,0.0602,-0.0619,0.0000,0.0000,0.0000,-0.0122,-0.1467,0.0000,-0.0119,-0.0412,0.0293,0.3162,0.3167,0.3736,0.3162,0.3895
1250000,1036,241.6371,0.8552,29.5096,16.0362,0.3700,89.2771,0.0065,0.0065,-0.0033,0.5328,13.0783,0.2441,0.1372,0.1122,-0.0602,0.0000,0.0000,0.0000,-0.0113,-0.1532,0.0000,-0.0044,-0.0720,0.0821,0.2983,0.3047,0.3715,0.2962,0.3984
1500000,955,260.8000,0.8126,28.8409,17.5115,0.3700,87.3195,0.0075,0.0067,0.0310,0.5607,12.7446,0.2112,0.1502,0.1194,-0.0621,0.0000,0.0000,0.0000,-0.0113,-0.1467,0.0000,-0.0035,-0.0693,0.0883,0.2875,0.2963,0.3754,0.2916,0.3967
1750000,812,308.1589,0.6884,25.1172,15.9336,0.3700,84.0994,0.0091,0.0113,-0.1019,0.6307,14.4106,-0.0279,0.2017,0.1464,-0.0563,0.0000,0.0000,0.0000,-0.0108,-0.1544,0.0000,-0.0037,-0.0611,0.1183,0.2807,0.2869,0.3776,0.2867,0.3956
2000000,693,361.2150,0.4863,22.3450,11.7607,0.3700,92.4977,0.0124,0.0186,-0.1780,0.6679,16.3710,-0.2629,0.2974,0.2017,-0.0342,0.0000,0.0000,0.0000,-0.0106,-0.1661,0.0000,-0.0031,-0.0488,0.1846,0.2755,0.2805,0.3783,0.2815,0.3951
2250000,646,386.5186,0.3762,22.7905,15.8511,0.4700,85.0210,0.0166,0.0251,-0.1830,0.6693,17.0354,-0.3981,0.2664,0.2220,-0.0473,0.0000,0.0000,0.0000,-0.0107,-0.1745,0.0000,-0.0019,-0.0454,0.1984,0.2696,0.2729,0.3762,0.2776,0.3932
2500000,641,390.0811,0.3557,21.0782,7.8949,0.4700,85.8618,0.0205,0.0274,-0.1372,0.6491,16.9910,-0.4007,0.2820,0.2625,-0.0399,0.0000,0.0000,0.0000,-0.0106,-0.1751,0.0000,-0.0023,-0.0476,0.2425,0.2637,0.2654,0.3785,0.2735,0.3916
2750000,656,381.3201,0.3811,18.1339,-2.8579,0.5700,90.6671,0.0235,0.0321,-0.1441,0.6233,17.0271,-0.4116,0.2801,0.2952,-0.0352,0.0000,0.0000,0.0000,-0.0105,-0.1828,0.0000,-0.0024,-0.0524,0.2777,0.2583,0.2596,0.3741,0.2690,0.3916
3000000,609,410.6092,0.2906,19.1990,5.6113,0.7000,95.1982,0.0339,0.0375,-0.0667,0.6206,18.1644,-0.4845,0.1912,0.3407,-0.0303,0.0000,0.0000,0.0000,-0.0106,-0.1903,0.0000,-0.0021,-0.0386,0.3256,0.2488,0.2519,0.3761,0.2608,0.3908
